Frame	CPU Total (ms)	CPU Boids (ms)	CPU Data Update (ms)	CPU Render Dispatch (ms)	GPU Render (ms)
0	2.7348	2.4907	0.0214	0.0858	0.136704
1	2.8998	2.5509	0.0219	0.0639	0.131872
2	2.6011	2.4954	0.0212	0.0558	0.130592
3	2.6201	2.4727	0.0212	0.0314	0.128704
4	2.5615	2.4719	0.0212	0.0323	0.130336
5	2.5318	2.4777	0.0243	0.0272	0.130336
6	2.5296	2.4883	0.0224	0.027	0.131456
7	2.5392	2.4618	0.0235	0.0266	0.132064
8	2.5988	2.4716	0.0214	0.0507	0.129152
9	2.5311	2.4647	0.0216	0.0304	0.131712
10	2.5312	2.4696	0.0211	0.028	0.1288
11	2.5234	2.4572	0.0211	0.0267	0.13072
12	2.5281	2.462	0.0216	0.0272	0.130752
13	2.5149	2.473	0.0211	0.0267	0.128576
14	2.5641	2.5124	0.0391	0.0478	0.128416
15	2.5343	2.4753	0.0212	0.0281	0.131776
16	2.6331	2.446	0.0211	0.0511	0.130176
17	2.5365	2.4786	0.0502	0.0284	0.130592
18	2.5043	2.4444	0.0212	0.0276	0.130688
19	2.6186	2.4565	0.0216	0.0539	0.12832
20	2.5347	2.4526	0.021	0.0456	0.129056
21	2.5204	2.4559	0.022	0.0293	0.130496
22	2.5135	2.4703	0.0212	0.0275	0.130048
23	2.5149	2.4549	0.0211	0.0268	0.132288
24	2.5278	2.4763	0.022	0.0264	0.131584
25	2.5121	2.4857	0.0218	0.0266	0.128512
26	2.5653	2.4692	0.0213	0.0441	0.128544
27	2.5491	2.4303	0.0212	0.0291	0.131904
28	2.5273	2.4478	0.0216	0.0272	0.131712
29	2.4886	2.4411	0.0216	0.0266	0.131072
30	2.5111	2.4252	0.0212	0.0291	0.131168
31	2.5017	2.4355	0.0211	0.0284	0.128192
32	2.5157	2.4394	0.0216	0.0445	0.128608
33	2.4984	2.4374	0.0212	0.029	0.131552
34	2.5013	2.4511	0.0242	0.0287	0.131552
35	2.5011	2.4433	0.0211	0.0304	0.131136
36	2.538	3.214	0.0231	0.0409	0.129984
37	2.5108	3.3825	0.0236	0.0325	0.130528
38	3.3655	3.5203	0.0272	0.0742	0.128064
39	3.5364	3.6982	0.0248	0.0762	0.128256
40	3.66	3.6113	0.0383	0.065	0.128768
41	3.8352	3.8199	0.0248	0.0659	0.131296
42	3.7589	3.6949	0.0246	0.0645	0.128736
43	3.9472	3.7076	0.0243	0.0626	0.13184
44	3.8367	3.4978	0.0242	0.0777	0.129792
45	3.8514	3.8086	0.0298	0.0705	0.131168
46	3.6436	3.5287	0.0215	0.0741	0.128224
47	3.9478	2.5568	0.0212	0.0643	0.13088
48	3.6328	2.4922	0.0216	0.0497	0.130272
49	2.63	2.9334	0.0251	0.0347	0.131808
50	2.6	3.7523	0.0259	0.0552	0.128192
51	3.1268	2.8621	0.0227	0.0957	0.128736
52	3.9163	2.5924	0.0221	0.0831	0.131392
53	2.9587	2.4445	0.0213	0.0458	0.130912
54	2.6688	2.4254	0.0214	0.0362	0.130816
55	2.5299	2.4205	0.0213	0.0425	0.127872
56	2.4944	2.4704	0.0212	0.0336	0.130304
57	2.4887	2.4093	0.0221	0.0329	0.131328
58	2.5599	2.4487	0.0214	0.0457	0.130624
59	2.4913	2.98	0.0266	0.0416	0.130144
60	2.5502	2.6721	0.0218	0.0513	0.129504
61	3.0937	2.6798	0.0217	0.0534	0.12768
62	2.7389	2.6836	0.0217	0.0312	0.131808
63	2.742	3.0122	0.0215	0.0292	0.131584
64	2.7498	2.8879	0.022	0.0324	0.131136
65	3.0885	2.7016	0.0221	0.037	0.130304
66	2.9887	2.7158	0.022	0.0518	0.127872
67	2.7933	2.6891	0.0222	0.0463	0.13056
68	2.8194	2.7966	0.0222	0.0544	0.13088
69	2.779	2.6921	0.0217	0.0463	0.131136
70	2.9145	2.6745	0.0222	0.059	0.128032
71	2.7953	2.6711	0.0216	0.0538	0.128064
72	2.7667	2.7035	0.0219	0.0474	0.130688
73	2.7513	2.8565	0.0214	0.0413	0.13056
74	2.792	3.0094	0.0216	0.0451	0.131232
75	2.9334	2.6551	0.0212	0.0392	0.131328
76	3.0998	2.4211	0.0219	0.0464	0.128256
77	2.7545	2.4669	0.0212	0.0513	0.131296
78	2.5215	2.8723	0.0217	0.0501	0.131776
79	2.5862	2.6723	0.0229	0.0615	0.129312
